Fold,MAE,MSE,RMSE,R squared value
1,10.060284177685945,143.11038118444986,11.962875121995124,-0.026443584487567673
2,25.539231290446285,1041.1098056781896,32.26623321179883,-0.08664987701092364
3,12.82783724546808,236.38627126003544,15.374858414308584,0.16868202140793154
4,15.94642896774947,317.09501989621435,17.807162039365352,0.1402336129423154
5,19.37137784987224,477.95538711076205,21.862190812239337,0.04655779945538707
6,17.342718858265727,356.94606957590304,18.893016423427547,-0.1263339073163725
7,11.088270636158937,171.50687848738522,13.096063472944273,-2.895234046082273
8,26.358506851944078,1214.67337138523,34.852164515066065,-0.16926603752934066
9,12.174720263452386,167.39318868681173,12.938051966459701,0.3131029012866894
10,19.933566931376088,706.8855422930873,26.587319200947796,0.05230358719465544
Average,17.064294307241923,483.3061915558068,20.56399351785526,-0.25830475301394984
