Fold,MAE,MSE,RMSE,R squared value
1,9.993438378984884,131.1728217763272,11.453070408249799,0.05917725704393484
2,30.77887175848055,1561.0733642592527,39.51042095775813,-0.629357604765169
3,14.534551492865916,347.1145644857726,18.63101082834135,-0.22072477623180964
4,15.617246336995692,361.0327431658279,19.000861642721045,0.021101569798212316
5,16.193004950776267,521.7242466182581,22.84128382158626,-0.0407538594348269
6,13.853899396869346,365.2463695978871,19.111419873936292,-0.1525252850972434
7,6.210045900540523,47.96754697801391,6.925860739143829,-0.08943048665860687
8,33.26622487732648,1837.2839156522869,42.86354996558599,-0.7686019422828214
9,12.249839024736945,228.71207814944853,15.12322975258422,0.06148115013519906
10,18.08494322257817,825.3223508153329,28.72842409209619,-0.10648044765282494
Average,17.07820653401548,622.6650001498408,22.418913208200312,-0.18661144251459558
